"word","freq"
"더불어민주당당대표",1
"덕후",1
"도망",2
"도발",1
"도시",1
"도이치",1
"도전",2
"도주",1
"도쿄올림픽",3
"독감",1
"독재",6
"돌려쓰기",1
"돌발",4
"돌파",1
"동거",1
"동구리",1
"동기",2
"동반",1
"동부",3
"동석",1
"동아일보",1
"동안",1
"동요",1
"동원",1
"동쪽",1
"동포",1
"동학",1
"동해",1
"동화",1
"두기",1
"뒤집어졌",1
"뒤통수",1
"뒷담",1
"뒷모습",1
"뒷조사",1
"드래곤",1
"드루",1
"들이",6
"등장",1
"디지털",1
"따뜻",1
"때려",1
"때문",1
"뚜껑",1
"뜻밖",1
"라디",3
"라면",1
"라운지",1
"라이",4
"라이브",8
"라이브_364일차_0818",1
"라이브_373일차_0901",1
"라인업",1
"란의",1
"랠리",1
"랭킹",3
"러시아",1
"럭키",1
"레임덕",1
"레지스탕스TV",3
"로비",1
"로운",1
"롯데칠성",1
"루이스",1
"류밀",10
"류현진",2
"리고",1
"리딩",1
"리병",2
"리뷰",1
"리얼",2
"리포트",7
"리허설",1
"마녀",1
"마담",1
"마련",1
"마루",1
"마무리",1
"마스크",1
"마을",1
"마음",3
"마이",6
"마이크",1
"마지막",4
"마케팅",1
"만루",3
"만큼",1
"망치",1
"매도",1
"매미",1
"매수",3
"매일경제T",5
"맥가이",1
"맹구",1
"머니",14
"먹방",1
"먹자",1
"먼동",1
"멍완저우",1
"메리츠",2
"메세지",2
"메시",1
"메시지",1
"멱살",1
"면세점",1
"명문",1
"명월",1
"명쾌",3
"모닝",6
"모리셔스",1
"모습",1
"모정",1
"모터스",1
"모텔",1
"목격",2
"목격자",3
"목사",10
"목숨",1
"목요일",1
"목표",2
"몰빵",1
"몰수",1
"몸싸움",1
"못꺼내면서",1
"무단",2
"무대",2
"무릎",1
"무명",1
"무엇",2
"무의미",1
"무차별",1
"무한책임",1
"무효",1
"문독",1
"문워크",1
"문재인",17
"문제",2
"문화",2
"뭉치",1
"뭐길래",1
"뭔데",1
"뮬란",1
"미국",10
"미국은",3
"미군",1
"미래",6
"미래세대",2
"미방",1
"미복귀",1
"미스터리",1
"미얀마",3
"미중",1
"미증",1
"미투",1
"미팅",1
"민감",1
"민경욱",1
"민우",1
"민원실",1
"민원장",1
"민의",6
"민주",1
"민주당",7
"민주화",1
"믿으세요",1
"바다",1
"바라",3
"바람",1
"바비",5
"바이러스",1
"박근혜",1
"박노자",1
"박덕흠",4
"박동희",2
"박문성",2
"박범계",5
"박사",1
"박살",1
"박상혁",1
"박성",2
"박세",5
"박수",1
"박스권",1
"박시",5
"박영선",1
"박용진",3
"박원석",1
"박원순",1
"박재호",1
"박정",1
"박지선",1
"박지현",1
"박지훈",1
"박진",1
"박창근",1
"박창진",2
"박현주",2
"박형수",1
"반대",2
"반도체",5
"반등",1
"반박",1
"반성문",1
"반응",6
"반정부",1
"반타",1
"반포",1
"발끈한",1
"발언",3
"발언자",1
"발의",1
"발전",1
"발칵뒤집",1
"발탁",1
"발표",6
"발효",1
"방법",1
"방송",9
"방시혁",1
"방심",1
"방어",2
"방역",7
"방역복",1
"방출",1
"방치",1
"방탄소년단",5
"방향",1
"방화",1
"배경",1
"배구",2
"배근",2
"배상",2
"배상금",1
"배진",1
"배터리",3
"배후",2
"백범",1
"백서VS흑서",1
"백성",1
"버섯",1
"버전",6
"번복",1
"번째",3
"범인",2
"법대",1
"법무부",2
"법무부장관",1
"법보",1
"법사위원장",1
"법안",1
"법안심의",1
"법원",2
"법치",1
"벙어리",1
"베르토",1
"베스트",1
"베트남",2
"변상욱",1
"변신",1
"변이",1
"변절",1
"변호",1
"변호사",3
"변화",1
"별세",1
"병무청장",1
"병실",2
"병역",2
"보건복지부",1
"보건의료",1
"보고",2
"보기",5
"보라",1
"보수",3
"보유자",1
"보이스트",1
"보이콧",1
"보좌관",2
"보좌진",1
"보직",1
"보호관찰",1
"복귀",2
"복수",1
"복지부",1
"본문",1
"본부",2
"본부장",3
"본인",2
"본회의장",1
"부대",1
"부동산",3
"부리",1
"부모",2
"부부",1
"부분",1
"부비",2
"부사",1
"부산",3
"부산MBC제",2
"부상",1
"부자",2
"부장",1
"부적합",1
"부정선거",1
"부질",1
"부채",1
"부패",1
"북상",1
"북한",4
"분노",3
"분산투자100종목vs우량주3종목",1
"분서갱유",1
"분석",3
"분야",1
"분자",1
"분할",1
"불가능",2
"불길",1
"불륜",3
"불법",2
"불법집회",1
"불안",1
"불안감",1
"불행",1
"브리",1
"브리핑",1
"블랙",1
"비공개",1
"비대",2
"비디오",5
"비밀",10
"비바람",1
"비살상탄",1
"비중",1
"비평",6
"비혼모",1
"빈라덴",1
"빈소",1
"빌보드",1
"빗발",1
"빚투청춘보고서",1
"빡치",1
"빤스",1
"빤쓰",1
"빨간불",1
"빵터졌다",1
"빼도박도",1
"뻘쭘하지",1
"뼈때리는",1
"사건",6
"사과",5
"사라졌",1
"사람",2
"사랑",3
"사망",6
"사망자",2
"사상",2
"사상초유",1
"사실",3
"사실상",1
"사업",1
"사용",1
"사원",1
"사유리",1
"사유화",1
"사이",2
